X,Y,OBJECTID,事務所名,路線名,管理番号,照明灯種別,設置位置,緯度,経度,X座標,Y座標
138.8128056,34.91361111,96,沼津土木事務所,（国）１３６号,小嵐トンネル,低圧ナトリウム灯,伊豆市土肥上楊櫨平,34.91361111,138.8128056,28582.6171,-120477.024
138.9390556,34.9711388900001,97,沼津土木事務所,（国）１３６号,越路トンネル,低圧ナトリウム灯,伊豆市修善寺地内,34.97113889,138.9390556,40090.7728,-114052.171
138.7686667,34.8623333300001,98,沼津土木事務所,（国）１３６号,土肥第1トンネル,低圧ナトリウム灯,伊豆市小下田字小峰,34.86233333,138.7686667,24564.66961,-126176.8716
138.7675556,34.86391667,99,沼津土木事務所,（国）１３６号,土肥第2トンネル,低圧ナトリウム灯,伊豆市小下田字小峯地内,34.86391667,138.7675556,24462.60977,-126001.5076
138.082,35.03611111,100,島田土木事務所,（国）３６２号,G362-新21,,川根本町上長尾,35.03611111,138.082,-38137.98554,-106853.008
138.0816389,35.0371388900001,101,島田土木事務所,（国）３６２号,G362-新22,,川根本町上長尾,35.03713889,138.0816389,-38170.45518,-106738.8571
138.0811111,35.038,102,島田土木事務所,（国）３６２号,G362-新23,,川根本町上長尾,35.038,138.0811111,-38218.20814,-106643.1312
138.08075,35.0384722200001,103,島田土木事務所,（国）３６２号,G362-新24,,川根本町上長尾,35.03847222,138.08075,-38250.93491,-106590.6089
138.0807222,35.03844444,104,島田土木事務所,（国）３６２号,G362-新25,,川根本町上長尾,35.03844444,138.0807222,-38253.48242,-106593.6799
138.0808611,35.03869444,105,島田土木事務所,（国）３６２号,G362-新26,,川根本町上長尾,35.03869444,138.0808611,-38240.69401,-106566.0003
138.0808889,35.0393055600001,106,島田土木事務所,（国）３６２号,G362-新27,,川根本町上長尾,35.03930556,138.0808889,-38237.87474,-106498.2187
138.0810278,35.03972222,107,島田土木事務所,（国）３６２号,G362-新28,,川根本町上長尾,35.03972222,138.0810278,-38225.00889,-106452.0513
138.0811944,35.0400833300001,108,島田土木事務所,（国）３６２号,G362-新29,,川根本町上長尾,35.04008333,138.0811944,-38209.63542,-106412.0568
138.0813056,35.03997222,109,島田土木事務所,（国）３６２号,G362-新30,,川根本町上長尾,35.03997222,138.0813056,-38199.54906,-106424.4249
138.0815278,35.0405833300001,110,島田土木事務所,（国）３６２号,G362-新31,,川根本町上長尾,35.04058333,138.0815278,-38178.99043,-106356.7187
138.1290833,34.8230277800001,111,島田土木事務所,（国）４７３号,G473-新25,,島田市金谷,34.82302778,138.1290833,-33929.73396,-130507.1078
138.1291667,34.82283333,112,島田土木事務所,（国）４７３号,G473-新26,,島田市金谷,34.82283333,138.1291667,-33922.19009,-130528.7058
138.1289167,34.8226944400001,113,島田土木事務所,（国）４７３号,G473-新27,,島田市金谷,34.82269444,138.1289167,-33945.11607,-130544.0279
138.1287222,34.82258333,114,島田土木事務所,（国）４７３号,G473-新28,,島田市金谷,34.82258333,138.1287222,-33962.94922,-130556.2872
138.1285278,34.82252778,115,島田土木事務所,（国）４７３号,G473-新29,,島田市金谷,34.82252778,138.1285278,-33980.75869,-130562.3834
138.1285,34.8224166700001,116,島田土木事務所,（国）４７３号,G473-新30,,島田市金谷,34.82241667,138.1285,-33983.34554,-130574.6991
138.1282778,34.82236111,117,島田土木事務所,（国）４７３号,G473-新31,,島田市金谷,34.82236111,138.1282778,-34003.69627,-130580.7869
138.1281944,34.8221666700001,118,島田土木事務所,（国）４７３号,G473-新32,,島田市金谷,34.82216667,138.1281944,-34011.39985,-130602.3273
138.1281667,34.82205556,119,島田土木事務所,（国）４７３号,G473-新33,,島田市金谷,34.82205556,138.1281667,-34013.98584,-130614.643
138.128,34.822,120,島田土木事務所,（国）４７３号,G473-新34,,島田市金谷,34.822,138.128,-34029.25514,-130620.7496
138.1279167,34.82186111,121,島田土木事務所,（国）４７３号,G473-新35,,島田市金谷,34.82186111,138.1279167,-34036.93505,-130636.128
138.9208889,35.03844444,122,沼津土木事務所,（国）１３６号,花坂第1号トンネル,低圧ナトリウム灯,伊豆の国市長岡地内,35.03844444,138.9208889,38400.47554,-106593.0612
138.9219444,35.03547222,123,沼津土木事務所,（国）１３６号,花坂第2号トンネル,低圧ナトリウム灯,伊豆の国市長岡537,35.03547222,138.9219444,38498.17495,-106922.3664
138.9375278,34.96325,124,沼津土木事務所,（国）１３６号,本立野トンネル,その他,伊豆市大平,34.96325,138.9375278,39955.09809,-114927.8972
138.9218889,35.0423611100001,125,沼津土木事務所,（国）４１４号,C414-62-1,,伊豆の国市南江間長岡地先,35.04236111,138.9218889,38489.87583,-106158.1948
138.9004444,35.0509722200001,126,沼津土木事務所,（国）４１４号,多比第1トンネル,低圧ナトリウム灯,沼津市多比地内,35.05097222,138.9004444,36529.60515,-105211.015
138.9058333,35.0488611100001,127,沼津土木事務所,（国）４１４号,多比第2トンネル,,沼津市多比10地先,35.04886111,138.9058333,37022.14945,-105443.2168
138.9086667,35.0483888900001,128,沼津土木事務所,（国）４１４号,口野トンネル,低圧ナトリウム灯,沼津市口野地先,35.04838889,138.9086667,37280.83699,-105494.5457
138.2020278,34.75911111,129,島田土木事務所,（県）榛原金谷線,H233,低圧ナトリウム灯,牧之原市大鳥居,34.75911111,138.2020278,-27278.12988,-137619.3824
138.1205,34.6508333300001,130,袋井土木事務所,（県）大東相良線,I372-14,その他,御前崎市池新田,34.65083333,138.1205,-34786.9912,-149604.9328
138.1959722,34.67997222,131,島田土木事務所,（県）静岡御前崎自転車道線,H375-24-1,,牧之原市波津,34.67997222,138.1959722,-27859.02425,-146396.1961
138.2534444,34.7935555600001,132,島田土木事務所,（県）静岡御前崎自転車道線,H375-1-2,,吉田町 大幡　（国）150号交差下,34.79355556,138.2534444,-22561.75711,-133811.3581
138.2699722,34.82275,133,島田土木事務所,（主）藤枝大井川線,F33-新2,,藤枝市大東町,34.82275,138.2699722,-21041.91168,-130576.5166
138.0678889,34.94261111,134,島田土木事務所,（主）藤枝天竜線,G63-家山トンネル,低圧ナトリウム灯,川根町家山,34.94261111,138.0678889,-39470.33605,-117219.5146
138.29925,34.8725,135,島田土木事務所,（国）１５０号,F150-B42-3,高圧ナトリウム灯,焼津市大覚寺地内（新瀬戸川橋）,34.8725,138.29925,-18352.65882,-125063.651
138.2992778,34.872,136,島田土木事務所,（国）１５０号,F150-B42-4,高圧ナトリウム灯,焼津市大覚寺地内（新瀬戸川橋）,34.872,138.2992778,-18350.23025,-125119.1198
138.2993333,34.87163889,137,島田土木事務所,（国）１５０号,F150-B42-5,高圧ナトリウム灯,焼津市大覚寺地内（焼津高架橋）,34.87163889,138.2993333,-18345.23202,-125159.1869
138.2993611,34.8715,138,島田土木事務所,（国）１５０号,F150-B42-6,高圧ナトリウム灯,焼津市大覚寺地内（焼津高架橋）,34.8715,138.2993611,-18342.72317,-125174.5987
138.2993889,34.87108333,139,島田土木事務所,（国）１５０号,F150-B42-7,高圧ナトリウム灯,焼津市大覚寺地内（焼津高架橋）,34.87108333,138.2993889,-18340.276,-125220.8239
138.2994167,34.87075,140,島田土木事務所,（国）１５０号,F150-B42-8,高圧ナトリウム灯,焼津市大覚寺地内（焼津高架橋）,34.87075,138.2994167,-18337.8103,-125257.8044
138.2991389,34.87,141,島田土木事務所,（国）１５０号,F150B-43,高圧ナトリウム灯,焼津市小土,34.87,138.2991389,-18363.3724,-125340.949
138.2622778,34.8016111100001,142,島田土木事務所,（国）１５０号,F150-100,高圧ナトリウム灯,焼津市西島342-28 志太宇部生ｺﾝ前,34.80161111,138.2622778,-21751.32015,-132919.7365
138.2667222,34.8051388900001,143,島田土木事務所,（国）１５０号,F150-103,高圧ナトリウム灯,焼津市相川1301,34.80513889,138.2667222,-21343.74863,-132529.3672
138.3008056,34.8661944400001,144,島田土木事務所,（国）１５０号,F105-五ヶ堀之内地下道,,焼津市五ヶ堀之内456,34.86619444,138.3008056,-18211.83885,-125763.3937
138.3008056,34.8620833300001,145,島田土木事務所,（国）１５０号,F150B-61,,焼津市五ヶ堀之内,34.86208333,138.3008056,-18212.74515,-126219.4277
138.3009722,34.86205556,146,島田土木事務所,（国）１５０号,F150B-62,,焼津市五ヶ堀之内,34.86205556,138.3009722,-18197.51318,-126222.5384
138.3010833,34.86141667,147,島田土木事務所,（国）１５０号,F150B-伊勢島地下道,その他,焼津市五ヶ堀之内　ゆりかご保育所北,34.86141667,138.3010833,-18187.4948,-126293.4289
138.3,34.8542222200001,148,島田土木事務所,（国）１５０号,F150B-三ヶ名南地下道,その他,焼津市三ヶ名　泓ノ川付近,34.85422222,138.3,-18288.13894,-127091.2914
